Subject,Curriculum,Category,Quiz_Name,Question,#_Times_Asked,#_Times_Correct,#_Times_Incorrect, %_correct 
Biology,GCSE,GCSE Biology,Unit 2 - Genetics,"For a condition such as Huntington's disease, how many parents need to be affected for the children to inherit this condition?",23,18,5, 78 
Biology,GCSE,GCSE Biology,Unit 2 - Genetics,What offspring ratio would you expect from two parents who are carriers. Tt crossed with Tt? ,23,12,11, 52 
Biology,GCSE,GCSE Biology,Unit 2 - Genetics,Name the technique used to test for genetic disorders.,23,20,3, 87 
Biology,GCSE,GCSE Biology,Unit 2 - Genetics,What is a carrier?,23,18,5, 78 
Biology,GCSE,GCSE Biology,Unit 2 - Genetics,Humans have two sex chromosomes. In women they are known as...,23,17,6, 74 
Biology,GCSE,GCSE Biology,Unit 2 - Genetics,Sperm cells carry...,23,13,10, 57 
Biology,GCSE,GCSE Biology,Unit 2 - Making Gametes (H),Mitosis process cells which are genetically...,10,8,2, 80 
Biology,GCSE,GCSE Biology,Unit 2 - Making Gametes (H),Meiosis consists of how many cell divisions?,10,8,2, 80 
Biology,GCSE,GCSE Biology,Unit 2 - Making Gametes (H),Meiosis results in how many gametes?,10,7,3, 70 
Biology,GCSE,GCSE Biology,Unit 2 - Making Gametes (H),"Inside gametes, chromosomes are...",10,8,2, 80 
Biology,GCSE,GCSE Biology,Unit 2 - Making Gametes (H),Meiosis results in cells which are genetically...,10,6,4, 60 
Biology,GCSE,GCSE Biology,Unit 2 - Making Gametes (H),Human body cells contain how many chromosomes?,10,7,3, 70 
Biology,GCSE,GCSE Biology,Unit 2 - Making Gametes (H),Human gametes (eggs or sperm) contain this number of chromosomes.,10,10,0, 100 
Biology,GCSE,GCSE Biology,Unit 2 - Making Gametes (H),"At the start of meiosis, what is replicated?",10,8,2, 80 
Biology,GCSE,GCSE Biology,Unit 2 - Making Gametes (H),Variation takes place as a result of meiosis and is a big advantage of which type of reproduction?,10,5,5, 50 
Biology,GCSE,GCSE Biology,Unit 2 - Making Gametes (H),Name the process by which the normal chromosome number is restored.,10,5,5, 50 
Biology,GCSE,GCSE Biology,Unit 2 - Mitosis,Mitosis results in cells which are...,18,14,4, 78 
Biology,GCSE,GCSE Biology,Unit 2 - Mitosis,Mitosis takes place in...,18,8,10, 44 
Biology,GCSE,GCSE Biology,Unit 2 - Mitosis,"In humans, there are 46 chromosomes inside the nucleus of body cells. How many chromosomes are present in cells after mitosis?",18,14,4, 78 
Biology,GCSE,GCSE Biology,Unit 2 - Mitosis,"Name the other type of cell division which makes sex cells, eggs and sperm.",18,13,5, 72 
Biology,GCSE,GCSE Biology,Unit 2 - Mitosis,"During mitosis, a cell divides to form how many cells?",18,16,2, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Mitosis,"Before the cell can divide, it must copy its...",18,17,1, 94 
Biology,GCSE,GCSE Biology,Unit 2 - Mitosis,Name the structures that pull the chromosomes apart during cell division.,18,12,6, 67 
Biology,GCSE,GCSE Biology,Unit 2 - Mitosis,Plants can reproduce by asexual reproduction. All the new plants are...,18,16,2, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Mitosis,Body cells have 2 sets of chromosomes found in pairs but gametes have how many sets?,18,11,7, 61 
Biology,GCSE,GCSE Biology,Unit 2 - Mitosis,Mitosis produces new cells for...,18,14,4, 78 
Biology,GCSE,GCSE Biology,Unit 2 - Photosynthesis,Photosynthesis is a process in...,23,20,3, 87 
Biology,GCSE,GCSE Biology,Unit 2 - Photosynthesis,Photosynthesis takes place in the...,23,19,4, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Photosynthesis,This very important gas is given off as a by-product of photosynthesis.,23,19,4, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Photosynthesis,Photosynthesis requires this type of energy.,23,22,1, 96 
Biology,GCSE,GCSE Biology,Unit 2 - Photosynthesis,Where does the water needed for photosynthesis come from?,23,21,2, 91 
Biology,GCSE,GCSE Biology,Unit 2 - Photosynthesis,Various factors can limit the rate of photosynthesis. Which of these variables can limit photosynthesis?,23,17,6, 74 
Biology,GCSE,GCSE Biology,Unit 2 - Photosynthesis,"If the rate of photosynthesis is reduced, what other important process is also reduced?",23,16,7, 70 
Biology,GCSE,GCSE Biology,Unit 2 - Photosynthesis,Farmers will use heated greenhouses for faster growth of crops. This increases photosynthesis by increasing the...,23,17,6, 74 
Biology,GCSE,GCSE Biology,Unit 2 - Photosynthesis,Plants can convert the sugars made during photosynthesis into this insoluble stored form of energy.,23,19,4, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Photosynthesis,Plants can also convert sugars into protein using this mineral ion obtained from the soil.,23,15,8, 65 
Biology,GCSE,GCSE Biology,Unit 2 - Proteins,Proteins consist of chains of...,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Proteins,Some hormones are proteins and this is an example of a hormone which is a protein.,9,6,3, 67 
Biology,GCSE,GCSE Biology,Unit 2 - Proteins,The amino acid chain can be folded into a special...,9,7,2, 78 
Biology,GCSE,GCSE Biology,Unit 2 - Proteins,Enzymes are a special type of...,9,7,2, 78 
Biology,GCSE,GCSE Biology,Unit 2 - Proteins,Enzymes are biological...,9,7,2, 78 
Biology,GCSE,GCSE Biology,Unit 2 - Proteins,Haemoglobin is a protein which carries oxygen and is found in the...,9,9,0, 100 
Biology,GCSE,GCSE Biology,Unit 2 - Proteins,Some proteins make up the structure of which type of tissue?,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Proteins,These special proteins are released by white blood cells when a pathogen is invading your body.,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Proteins,The chemical reagent which is used to test for proteins.,9,3,6, 33 
Biology,GCSE,GCSE Biology,Unit 2 - Proteins,Proteins are damaged by high...,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Quadrat Sampling,"A square frame usually 0.5m by 0.5m, used in sampling organisms is called a...",7,5,2, 71 
Biology,GCSE,GCSE Biology,Unit 2 - Quadrat Sampling,The home of an organism is known as...,7,6,1, 86 
Biology,GCSE,GCSE Biology,Unit 2 - Quadrat Sampling,Abiotic factors are...,7,4,3, 57 
Biology,GCSE,GCSE Biology,Unit 2 - Quadrat Sampling,Biotic factors are...,7,6,1, 86 
Biology,GCSE,GCSE Biology,Unit 2 - Quadrat Sampling,Which of these is an abiotic factor?,7,4,3, 57 
Biology,GCSE,GCSE Biology,Unit 2 - Quadrat Sampling,What is the name for sampling along a line across the area of interest in the field?,7,6,1, 86 
Biology,GCSE,GCSE Biology,Unit 2 - Quadrat Sampling,How would you estimate the population of daisies in a field?,7,6,1, 86 
Biology,GCSE,GCSE Biology,Unit 2 - Quadrat Sampling,"In a field, why would there be very few daisies under a tree?",7,7,0, 100 
Biology,GCSE,GCSE Biology,Unit 2 - Quadrat Sampling,Which of the following factors could limit the distribution of moss?,7,4,3, 57 
Biology,GCSE,GCSE Biology,Unit 2 - Quadrat Sampling,Lichens can be found growing on quite exposed walls and on rocks. This is because they are adapted to withstand...,7,3,4, 43 
Biology,GCSE,GCSE Biology,Unit 2 - Speciation,A species is an interbreeding population capable of producing...,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 2 - Speciation,Speciation is the formation of new...,6,5,1, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Speciation,Speciation can be studied using...,6,5,1, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Speciation,A fossil is...,6,5,1, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Speciation,Species survive if they are...,6,5,1, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Speciation,Species who die off are known as...,6,6,0, 100 
Biology,GCSE,GCSE Biology,Unit 2 - Speciation,Extinction is not caused by...,6,0,6, -   
Biology,GCSE,GCSE Biology,Unit 2 - Speciation,Fossils from soft bodied animals are...,6,5,1, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Speciation,An example of geographical isolation.,6,5,1, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Speciation,Genetic variation provides the basis for new species. Variation means that individuals are...,6,6,0, 100 
Biology,GCSE,GCSE Biology,Unit 2 - Stem Cells,A human stem cell can develop into...,15,12,3, 80 
Biology,GCSE,GCSE Biology,Unit 2 - Stem Cells,"Stem cells can be found mainly in this location, in adults.",15,13,2, 87 
Biology,GCSE,GCSE Biology,Unit 2 - Stem Cells,Can stem cells can be grown in a lab?,15,13,2, 87 
Biology,GCSE,GCSE Biology,Unit 2 - Stem Cells,Stem cells can be removed from this stage of human development.,15,10,5, 67 
Biology,GCSE,GCSE Biology,Unit 2 - Stem Cells,Some people object to stem cell research saying it is...,15,8,7, 53 
Biology,GCSE,GCSE Biology,Unit 2 - Stem Cells,"When a cell develops into its specialised cell type, it is called...",15,13,2, 87 
Biology,GCSE,GCSE Biology,Unit 2 - Stem Cells,Stem cells could be used to cure paralysis. Which type of cell would they need to become?,15,11,4, 73 
Biology,GCSE,GCSE Biology,Unit 2 - Stem Cells,We can cure certain types of leukaemia using cells from... ,15,11,4, 73 
Biology,GCSE,GCSE Biology,Unit 2 - Stem Cells,Bone marrow can be provided by donors. Where do doctors take the bone marrow from?,15,8,7, 53 
Biology,GCSE,GCSE Biology,Unit 2 - Stem Cells,"To avoid ethical issues concerning embryos in the future, stem cells may be taken from...",15,8,7, 53 
Biology,GCSE,GCSE Biology,Unit 3 - Biofuels,Biofuels are made from...,10,8,2, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Biofuels,Biogas is...,10,9,1, 90 
Biology,GCSE,GCSE Biology,Unit 3 - Biofuels,Biogas is made by the process of...,10,7,3, 70 
Biology,GCSE,GCSE Biology,Unit 3 - Biofuels,Biogas generators can be filled with...,10,10,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Biofuels,"In a biogas generator, the animal or plant material supplies...",10,6,4, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Biofuels,Methane is a greenhouse gas and contributes to...,10,9,1, 90 
Biology,GCSE,GCSE Biology,Unit 3 - Biofuels,Global warming does not cause...,10,7,3, 70 
Biology,GCSE,GCSE Biology,Unit 3 - Biofuels,Biodiversity is the...,10,6,4, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Biofuels,Biogas is produced at a faster rate if the temperature is...,10,9,1, 90 
Biology,GCSE,GCSE Biology,Unit 3 - Biofuels,"Biogas generators are useful in developing countries such as Africa, because they easily and cheaply get rid of...",10,8,2, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Blood,Blood plasma is...,14,13,1, 93 
Biology,GCSE,GCSE Biology,Unit 3 - Blood,Plasma carries carbon dioxide away from the...,14,12,2, 86 
Biology,GCSE,GCSE Biology,Unit 3 - Blood,Arteries carry blood...,14,10,4, 71 
Biology,GCSE,GCSE Biology,Unit 3 - Blood,Valves prevent the backflow of blood and are found in...,14,10,4, 71 
Biology,GCSE,GCSE Biology,Unit 3 - Blood,These are the smallest blood vessels and a microscope is needed to see them.,14,12,2, 86 
Biology,GCSE,GCSE Biology,Unit 3 - Blood,Their walls are very thin to allow diffusion of gases.,14,11,3, 79 
Biology,GCSE,GCSE Biology,Unit 3 - Blood,Arteries carry blood which is...,14,12,2, 86 
Biology,GCSE,GCSE Biology,Unit 3 - Blood,Another name for a red blood cell is...,14,9,5, 64 
Biology,GCSE,GCSE Biology,Unit 3 - Blood,Platelets are involved in blood...,14,13,1, 93 
Biology,GCSE,GCSE Biology,Unit 3 - Blood,Red blood cells have a special shape to allow maximum...,14,9,5, 64 
Biology,GCSE,GCSE Biology,Unit 3 - Changes in Capillary Blood Flow for Heat Loss (H),Name the part of the brain that controls body temperature in mammals.,5,3,2, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Changes in Capillary Blood Flow for Heat Loss (H),Name the special cells responsible for detecting temperature changes.,5,4,1, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Changes in Capillary Blood Flow for Heat Loss (H),"When blood vessels tighten and have a smaller lumen, we call this...",5,3,2, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Changes in Capillary Blood Flow for Heat Loss (H),"To allow for more heat loss, the vessels supplying the skin capillaries undergo...",5,3,2, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Changes in Capillary Blood Flow for Heat Loss (H),"When we are cold, muscles shiver to increase...",5,4,1, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Changes in Capillary Blood Flow for Heat Loss (H),This encourages heat loss by evaporation.,5,4,1, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Changes in Capillary Blood Flow for Heat Loss (H),"The core temperature for humans, in degrees C, is...",5,5,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Changes in Capillary Blood Flow for Heat Loss (H),Skin contains thermoreceptors and they send messages to this to start body responses to maintain body temperature.,5,4,1, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Changes in Capillary Blood Flow for Heat Loss (H),"When we exercise, the skin looks red due to...",5,1,4, 20 
Biology,GCSE,GCSE Biology,Unit 3 - Changes in Capillary Blood Flow for Heat Loss (H),Thermoregulation is an example of...,5,3,2, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Circulatory System,This picture shows a human heart. What are the chambers of the heart called?,10,6,4, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Circulatory System,These blood vessels have very thick walls and here is a picture of one in cross section.,10,8,2, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Circulatory System,This is a picture of a type of blood cell. Name this cell.,10,9,1, 90 
Biology,GCSE,GCSE Biology,Unit 3 - Circulatory System,This picture shows an artery and a vein. Which vessels have thin walls and valves?,10,7,3, 70 
Biology,GCSE,GCSE Biology,Unit 3 - Circulatory System,This photograph shows a stent inside the artery of a person. Inside which artery would this be placed?,10,7,3, 70 
Biology,GCSE,GCSE Biology,Unit 3 - Circulatory System,This picture shows a white blood cell found in the blood. These are released from cells like this in order to protect the body from pathogens.,10,9,1, 90 
Biology,GCSE,GCSE Biology,Unit 3 - Circulatory System,This shows the double circulation of humans. How many circuits are there in this system?,10,8,2, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Circulatory System,This shows the heart valves. Their job is to prevent this.,10,9,1, 90 
Biology,GCSE,GCSE Biology,Unit 3 - Circulatory System,This amazing picture shows which artery?,10,6,4, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Circulatory System,Cigarette packets contain warnings like this one. Heart attacks can be caused because this forms in the coronary artery.,10,8,2, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Deforestation,What is deforestation?,7,7,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Deforestation,Slash and burn releases this gas into the atmosphere.,7,4,3, 57 
Biology,GCSE,GCSE Biology,Unit 3 - Deforestation,One reason for deforestation is to provide...,7,7,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Deforestation,Deforestation makes global warming worse because...,7,5,2, 71 
Biology,GCSE,GCSE Biology,Unit 3 - Deforestation,Burning trees contributes to global warming because...,7,6,1, 86 
Biology,GCSE,GCSE Biology,Unit 3 - Deforestation,"If peat bogs are removed, this can increase...",7,6,1, 86 
Biology,GCSE,GCSE Biology,Unit 3 - Deforestation,Deforestation leading to increased cattle farming also increases global warming because of the release of this greenhouse gas.,7,5,2, 71 
Biology,GCSE,GCSE Biology,Unit 3 - Deforestation,Greenhouse gases can increase the temperature of the Earth by...,7,7,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Deforestation,Global warming can lead to...,7,6,1, 86 
Biology,GCSE,GCSE Biology,Unit 3 - Deforestation,Deforestation leads to a change in biodiversity. This is a...,7,3,4, 43 
Biology,GCSE,GCSE Biology,Unit 3 - Dialysis,Dialysis is needed when this/these organ(s) fails.,4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Dialysis,Dialysis removes this waste material from the blood.,4,4,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Dialysis,The dialysis membrane is...,4,2,2, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Dialysis,Dialysis relies on movement of molecules and ions by the process of...,4,2,2, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Dialysis,Urea travels from...,4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Dialysis,"To retain glucose and ions in the blood, their concentration in dialysis fluid will be...",4,1,3, 25 
Biology,GCSE,GCSE Biology,Unit 3 - Dialysis,One major problem with dialysis is...,4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Dialysis,The only permanent cure for kidney failure is a...,4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Dialysis,A major problem with kidney transplants is...,4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Dialysis,"To avoid tissue rejection, the kidney transplant patient has to take drugs which suppress which system of the body?",4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Exchange Surface and Diffusion,Exchange surfaces are involved in the...,5,3,2, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Exchange Surface and Diffusion,Exchange surfaces are usually very...,5,5,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Exchange Surface and Diffusion,These are found in large numbers in the lining of the small intestine.,5,4,1, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Exchange Surface and Diffusion,Alveoli are found in the...,5,4,1, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Exchange Surface and Diffusion,"During gaseous exchange, which two gases are involved?",5,5,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Exchange Surface and Diffusion,Carbon dioxide enters plants through the...,5,4,1, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Exchange Surface and Diffusion,Mineral ions enter the plant by active transport through the...,5,4,1, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Exchange Surface and Diffusion,"Within leaves, the gases enter and leave through specialised pores called...",5,3,2, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Exchange Surface and Diffusion,Diffusion is faster across an exchange surface if the concentration gradient is...,5,4,1, 80 
Biology,GCSE,GCSE Biology,Unit 3 - Exchange Surface and Diffusion,"In animals, uptake of materials is quicker if there is a rich network of...",5,3,2, 60 
Biology,GCSE,GCSE Biology,Unit 3 - Glucagon (H),Glucagon is released from which organ?,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Glucagon (H),Glucagon is released when blood glucose levels are...,3,1,2, 33 
Biology,GCSE,GCSE Biology,Unit 3 - Glucagon (H),Which storage molecule is broken down due to the action of glucagon?,3,1,2, 33 
Biology,GCSE,GCSE Biology,Unit 3 - Glucagon (H),Glycogen is found in muscles and...,3,3,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Glucagon (H),Glucagon is a hormone which means it is transported in the...,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Glucagon (H),The target organ for glucagon is the...,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Glucagon (H),Glucagon is released...,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Glucagon (H),Insulin and glucagon control blood glucose and this is an example of...,3,3,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Glucagon (H),Glucagon is synthesised within cells of the...,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Glucagon (H),Homeostasis is the maintenance of a constant...,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Insulin and Blood Glucose Control,Insulin is a hormone released from the...,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Insulin and Blood Glucose Control,Insulin is released when blood glucose levels are...,6,5,1, 83 
Biology,GCSE,GCSE Biology,Unit 3 - Insulin and Blood Glucose Control,A typical situation for insulin release would be...,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Insulin and Blood Glucose Control,Insulin is a hormone which means that it travels in the...,6,6,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Insulin and Blood Glucose Control,This is the target organ for insulin.,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Insulin and Blood Glucose Control,Insulin has this effect on blood glucose levels.,6,2,4, 33 
Biology,GCSE,GCSE Biology,Unit 3 - Insulin and Blood Glucose Control,Insulin exerts its action by causing glucose...,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Insulin and Blood Glucose Control,Glucose is removed from the blood by being taken up into cells in the...,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Insulin and Blood Glucose Control,This is the organ that monitors blood glucose levels.,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Insulin and Blood Glucose Control,Diabetes can be caused by a lack of...,6,3,3, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Mechanism of Ventilation,Ventilation is...,2,1,1, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Mechanism of Ventilation,Another word for breathing in is...,2,1,1, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Mechanism of Ventilation,Name the special muscles found in the ribs which enable breathing.,2,1,1, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Mechanism of Ventilation,"During inspiration, the chest cavity (volume)...",2,1,1, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Mechanism of Ventilation,"During expiration, the diaphragm...",2,1,1, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Mechanism of Ventilation,"When the chest volume increases, what happens to the pressure?",2,1,1, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Mechanism of Ventilation,Another name for chest.,2,1,1, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Mechanism of Ventilation,The large surface area of the lungs is due to lots of...,2,1,1, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Mechanism of Ventilation,Oxygen passes across the alveolus and capillary into the blood by...,2,1,1, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Mechanism of Ventilation,The function of the rib cage is to protect the...,2,1,1, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Osmosis,Osmosis is the movement of which molecules?,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 3 - Osmosis,Dilute means...,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 3 - Osmosis,Osmosis takes place here.,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 3 - Osmosis,"In living organisms, the partially permeable membrane is the...",9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 3 - Osmosis,Osmosis takes place in this important structure.,9,2,7, 22 
Biology,GCSE,GCSE Biology,Unit 3 - Osmosis,Water molecules move from...,9,4,5, 44 
Biology,GCSE,GCSE Biology,Unit 3 - Osmosis,Water molecules move...,9,5,4, 56 
Biology,GCSE,GCSE Biology,Unit 3 - Osmosis,Why is osmosis not the same thing as diffusion?,9,7,2, 78 
Biology,GCSE,GCSE Biology,Unit 3 - Osmosis,Plants use osmosis to prevent...,9,7,2, 78 
Biology,GCSE,GCSE Biology,Unit 3 - Osmosis,Potato cylinders are put into a strong sugar solution. After an hour they are...,9,3,6, 33 
Biology,GCSE,GCSE Biology,Unit 3 - Thermoregulation,Thermoregulation is the control of body...,6,5,1, 83 
Biology,GCSE,GCSE Biology,Unit 3 - Thermoregulation,The part of the brain which is involved with temperature control is called the...,6,3,3, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Thermoregulation,Normal body temperature for humans is...,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Thermoregulation,Receptors inside the thermoregulatory centre detect blood...,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Thermoregulation,"During sweating, body temperature...",6,3,3, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Thermoregulation,Temperature receptors are found in the brain and also in the...,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Thermoregulation,Information about skin temperature is sent to the brain by...,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Thermoregulation,This process cools the skin during sweating.,6,3,3, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Thermoregulation,"When we are too cold, these trap a layer of air for insulation.",6,6,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Thermoregulation,This happens when it is cold in order to generate heat from respiration.,6,5,1, 83 
Biology,GCSE,GCSE Biology,Unit 3 - Urine Production,The organs responsible for filtering the blood.,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Urine Production,Urea is made here from excess amino acids.,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Urine Production,Urea leaves the body in the...,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Urine Production,A microscopic filtering unit found in the kidney.,3,1,2, 33 
Biology,GCSE,GCSE Biology,Unit 3 - Urine Production,All of this important substance is filtered then reabsorbed by the nephron into the blood.,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Urine Production,Urine is stored inside this before being expelled.,3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Urine Production,This tube conveys the urine to the bladder from the kidney.,3,1,2, 33 
Biology,GCSE,GCSE Biology,Unit 3 - Urine Production,"If the kidneys fail, urea builds up and is a problem because it is...",3,1,2, 33 
Biology,GCSE,GCSE Biology,Unit 3 - Urine Production,"Water leaves the body in sweat, urine and...",3,2,1, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Urine Production,Kidney transplant may be rejected due to...,3,1,2, 33 
Biology,GCSE,GCSE Biology,Unit 3 - Water Loss in Plants,The process by which a plant loses water is called...,4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Water Loss in Plants,The loss of water vapour from a surface is known as...,4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Water Loss in Plants,These are tiny pores found in plant leaves.,4,2,2, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Water Loss in Plants,Specialised cells found on either side of a stoma.,4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Water Loss in Plants,This enters the leaves through the stomata.,4,2,2, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Water Loss in Plants,This leaves the plant through stomata.,4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Water Loss in Plants,Water is lost from a plant more rapidly on a ...,4,4,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Water Loss in Plants,Plants can increase their water uptake by having...,4,2,2, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Water Loss in Plants,Plants do this to reduce water loss.,4,4,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Water Loss in Plants,Plant roots have an enormous surface area for water absorption due to these.,4,3,1, 75 
Biology,GCSE,GCSE Biology,Unit 3 - Xylem and Phloem,Transpiration involves the movement of...,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Xylem and Phloem,Name the special tissue which transports water and mineral ions.,6,3,3, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Xylem and Phloem,This specialised plant tissue transports dissolved sugars.,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Xylem and Phloem,Water leaves the plant leaves through...,6,6,0, 100 
Biology,GCSE,GCSE Biology,Unit 3 - Xylem and Phloem,This plant tissue is woody and dead.,6,3,3, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Xylem and Phloem,Xylem is found in the...,6,3,3, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Xylem and Phloem,Name the process by which mineral ions move from the soil into the root.,6,4,2, 67 
Biology,GCSE,GCSE Biology,Unit 3 - Xylem and Phloem,Xylem vessels can be blocked by air bubbles.,6,2,4, 33 
Biology,GCSE,GCSE Biology,Unit 3 - Xylem and Phloem,Plants need living phloem in order to transport sugars.,6,3,3, 50 
Biology,GCSE,GCSE Biology,Unit 3 - Xylem and Phloem,"If we use a poison which inhibits respiration, this process is not blocked.",6,1,5, 17 
Biology,GCSE,GCSE Biology,Unit 4 - Appropriate Chart/Graph,This is an example of which type of chart?,3,3,0, 100 
Biology,GCSE,GCSE Biology,Unit 4 - Appropriate Chart/Graph,What sort of chart is this?,3,3,0, 100 
